epoch,train_loss,train_phys_reg,test_loss,test_phys_reg,test_D_loss,test_G_loss,train_D_loss,train_G_loss
1.0,,,,,-5.373415946960449,-0.42256155610084534,-5.200644493103027,-0.42941993474960327
2.0,,,,,-8.911325454711914,-0.9759195446968079,-8.7100830078125,-0.9470034837722778
3.0,,,,,-8.904757499694824,-0.13080331683158875,-8.642509460449219,-0.1529821902513504
4.0,,,,,-8.76241397857666,-0.7806379199028015,-8.569324493408203,-0.811946451663971
5.0,,,,,-8.33736801147461,-0.5000709891319275,-8.226221084594727,-0.48482730984687805
6.0,,,,,-7.8429365158081055,-1.450178861618042,-7.8188629150390625,-1.3773205280303955
7.0,,,,,-7.463898658752441,-0.9159115552902222,-7.338723182678223,-0.9712026119232178
8.0,,,,,-6.700569152832031,-2.311281681060791,-6.667300701141357,-2.2981603145599365
9.0,,,,,-6.147372722625732,-0.6603299975395203,-6.122805595397949,-0.648199200630188
10.0,,,,,-6.028853893280029,0.2622707784175873,-6.087745666503906,0.24407990276813507
11.0,,,,,-5.736570358276367,-0.6100976467132568,-5.860605239868164,-0.5786188840866089
12.0,,,,,-5.457672595977783,-0.42562979459762573,-5.539934158325195,-0.4446418583393097
13.0,,,,,-5.280916213989258,0.2648388147354126,-5.505051136016846,0.3890080451965332
14.0,,,,,-5.247016906738281,-0.3692466616630554,-5.46357536315918,-0.26987379789352417
15.0,,,,,-5.1798095703125,0.18010815978050232,-5.389726638793945,0.29464438557624817
16.0,,,,,-5.223976135253906,-0.5041643977165222,-5.295518398284912,-0.48611748218536377
17.0,,,,,-5.046869277954102,1.0447001457214355,-5.1902031898498535,1.0447015762329102
18.0,,,,,-4.873783111572266,0.36949408054351807,-5.1828484535217285,0.5242339372634888
19.0,,,,,-4.8741559982299805,-0.8375537395477295,-5.051393032073975,-0.7907522916793823
20.0,,,,,-4.7252278327941895,-0.7614037990570068,-4.96876335144043,-0.5772284269332886
21.0,,,,,-4.559067726135254,-0.21064406633377075,-4.840247631072998,-0.09447739273309708
22.0,,,,,-4.559393882751465,0.06262897700071335,-4.793154239654541,0.13885343074798584
23.0,,,,,-4.471100330352783,-0.3262220323085785,-4.690176010131836,-0.2558215856552124
24.0,,,,,-4.51845121383667,-0.679161787033081,-4.660768032073975,-0.7177705764770508
25.0,,,,,-4.373843669891357,-0.5862830877304077,-4.5368123054504395,-0.5520316958427429
26.0,,,,,-4.377472400665283,-1.0106641054153442,-4.503754615783691,-1.0127954483032227
27.0,,,,,-4.3002400398254395,0.28262239694595337,-4.468011856079102,0.28977787494659424
28.0,,,,,-4.276304721832275,-0.6551076173782349,-4.456841945648193,-0.6198611855506897
29.0,,,,,-4.286678314208984,-0.399017333984375,-4.392240524291992,-0.4131651520729065
30.0,,,,,-4.260198593139648,-0.1591458022594452,-4.285337448120117,-0.26892340183258057
31.0,,,,,-4.0803446769714355,-0.7402973175048828,-4.251008987426758,-0.6664898991584778
32.0,,,,,-4.005331516265869,-1.4566820859909058,-4.2725958824157715,-1.2926040887832642
33.0,,,,,-3.9158997535705566,-0.990589439868927,-4.238062381744385,-0.8396461009979248
34.0,,,,,-4.07977819442749,-0.8244158625602722,-4.1703267097473145,-0.8498411178588867
35.0,,,,,-3.9852733612060547,-1.3808648586273193,-4.12984037399292,-1.3223364353179932
36.0,,,,,-3.8488807678222656,-1.1797096729278564,-4.094923973083496,-1.0650405883789062
37.0,,,,,-3.9486591815948486,-0.9476761221885681,-4.094789505004883,-0.9553344249725342
38.0,,,,,-3.945218563079834,-0.8618447184562683,-4.057432651519775,-0.8104581236839294
39.0,,,,,-3.8871910572052,-0.7209455370903015,-3.9822142124176025,-0.7545086741447449
40.0,,,,,-3.85429048538208,-0.3519998788833618,-4.018662929534912,-0.3482637405395508
41.0,,,,,-3.8206734657287598,-1.0202620029449463,-3.992994546890259,-0.9782269597053528
42.0,,,,,-3.82285213470459,-0.8720698356628418,-4.009589672088623,-0.7919058203697205
43.0,,,,,-3.823495864868164,-0.99400794506073,-3.971851348876953,-0.9826164245605469
44.0,,,,,-3.7714712619781494,-0.8859578967094421,-3.939362049102783,-0.8361050486564636
45.0,,,,,-3.8125429153442383,-1.1376230716705322,-3.9411239624023438,-1.1546649932861328
46.0,,,,,-3.8323745727539062,-0.7269150018692017,-3.9439573287963867,-0.7331695556640625
47.0,,,,,-3.8074607849121094,-0.7656430006027222,-3.910104513168335,-0.8083661198616028
48.0,,,,,-3.737367630004883,-0.9205755591392517,-3.9340620040893555,-0.8740086555480957
49.0,,,,,-3.7621467113494873,-0.974443793296814,-3.8903284072875977,-1.00531005859375
50.0,,,,,-3.7764759063720703,-0.9163117408752441,-3.865408182144165,-0.9439780712127686
